Date,Open,High,Low,Close,Change (Pips)
"Mar 31, 2021 00:00",83.812,84.478,83.665,84.089,+27.7
"Mar 30, 2021 00:00",83.754,84.287,83.696,83.821,+6.7
"Mar 29, 2021 00:00",83.73,83.929,83.334,83.811,+8.1
"Mar 26, 2021 00:00",82.755,83.806,82.705,83.802,+104.7
"Mar 25, 2021 00:00",82.391,83.06,82.388,82.75,+35.9
"Mar 24, 2021 00:00",82.746,83.039,82.288,82.416,-33.0
"Mar 23, 2021 00:00",84.265,84.307,82.734,82.798,-146.7
"Mar 22, 2021 00:00",83.677,84.378,83.646,84.307,+63.0
"Mar 19, 2021 00:00",84.476,84.658,84.113,84.336,-14.0
"Mar 18, 2021 00:00",84.825,85.449,84.355,84.515,-31.0
"Mar 17, 2021 00:00",84.418,85.006,84.124,84.831,+41.3
"Mar 16, 2021 00:00",84.618,84.669,84.193,84.418,-20.0
"Mar 15, 2021 00:00",84.524,84.73,84.113,84.626,+10.2
"Mar 12, 2021 00:00",84.493,84.778,84.212,84.585,+9.2
"Mar 11, 2021 00:00",83.821,84.536,83.75,84.51,+68.9
"Mar 10, 2021 00:00",83.642,83.92,83.476,83.848,+20.6
"Mar 09, 2021 00:00",83.256,83.914,83.16,83.764,+50.8
"Mar 08, 2021 00:00",83.255,83.746,82.929,83.298,+4.3
"Mar 05, 2021 00:00",83.361,83.592,82.781,83.253,-10.8
"Mar 04, 2021 00:00",83.173,84.037,83.006,83.364,+19.1
"Mar 03, 2021 00:00",83.398,83.755,83.127,83.197,-20.1
"Mar 02, 2021 00:00",82.971,83.637,82.626,83.425,+45.4
"Mar 01, 2021 00:00",82.093,83.127,82.073,82.985,+89.2
"Feb 26, 2021 00:00",83.57,83.824,81.984,82.075,-149.5
"Feb 25, 2021 00:00",84.351,84.946,83.504,83.635,-71.6
"Feb 24, 2021 00:00",83.258,84.421,83.155,84.332,+107.4
"Feb 23, 2021 00:00",83.138,83.364,82.91,83.272,+13.4
"Feb 22, 2021 00:00",82.933,83.435,82.933,83.182,+24.9
"Feb 19, 2021 00:00",82.084,83.16,81.993,82.953,+86.9
"Feb 18, 2021 00:00",82.037,82.298,81.824,82.088,+5.1
"Feb 17, 2021 00:00",82.246,82.294,81.76,82.053,-19.3
"Feb 16, 2021 00:00",81.972,82.412,81.878,82.206,+23.4
"Feb 15, 2021 00:00",81.456,82.055,81.422,81.964,+50.8
"Feb 12, 2021 00:00",81.185,81.485,81.088,81.433,+24.8
"Feb 11, 2021 00:00",80.738,81.369,80.671,81.208,+47.0
"Feb 10, 2021 00:00",80.921,81.102,80.756,80.768,-15.3
